addr,side,group,btcblack_found,btcblack_latency_ms,block_height
bc1qelvz4gkya49tfl562u9nyglrfyc2h62726mwwz,input,target_blocks,False,22.2,
bc1qfyxnn8t8922xrhvptnjd4k5tfdca8s6a2e5m7q,input,target_blocks,False,21.8,
bc1qw9z43vmsrxux8x5dx955np3kn709qxa5qlu5u9,input,target_blocks,False,23.3,
bc1qstzkdtqns0fm5ljmpw9mf06udq9fvytln3j9tg,input,target_blocks,False,23.8,
13YpuGPr1ikuc2T5pGxR21UXnZxfHxKMuL,input,target_blocks,False,26.2,
bc1qex2ctz5mrey8673hc5d2ye2wz8umthpx6l7389,input,target_blocks,False,21.9,
bc1p50p6wk3ahv2xwhz665mjjd4pqv3daenq349x5wwldeqhj8cs0auqvt2jz9,input,target_blocks,False,21.5,
bc1qq8mvxkh36h9kwzadgfanqakp7zsw4c93ldtxtt,input,target_blocks,False,87.8,
bc1qup03yzm7kqc59e65r3qg7qjxkfxaqlzdthutks,input,target_blocks,False,21.3,
bc1qmemk65j0ga8gykhf9fl6phmmz9de0vt4lpuc2w,input,target_blocks,False,22.6,
1EEyAbcmUbar3vu39HMSXXumgoTuVETA5C,input,target_blocks,False,23.2,
bc1puaz2trnxx8ugmlk4xyn44cwymmyd5erz2nkxuqlaq39g002s30ls9t2yjx,input,target_blocks,False,22.3,
3L636eFD3gb2YgqrhB7GfZg7ZaRWdL7AqR,input,target_blocks,False,21.7,
bc1qmcwv5mmj52wzxzf2hmn4tneyl8c020yrjdrmte,input,target_blocks,False,25.1,
bc1qnkkz4ejfxk7xvugv78xwlj8mqetqnhnahwnmdj,input,target_blocks,False,24.4,
bc1q4s42r2whny6rpect7w4ue7fqe4jdzxcdx39ell,input,target_blocks,False,26.7,
bc1qpjretw3a5r68puq6nea7ejn7kwyxxkfrrlhrtc,input,target_blocks,False,23.3,
bc1qnxnx6rekd6gtyzz4g3p2pzqvpynkm6lprq7hfk,input,target_blocks,False,22.9,
bc1qwvmsvkfsl532c8mwphvrefvt8jg98dcsgqdkr9,input,target_blocks,False,23.6,
bc1pcqwu7vy2km5wq7ghgxld5va8qpqx49rzr6u6rm3zhj2l86nmc8sqxtpq2l,input,target_blocks,False,21.6,
bc1puvzwk0xt42tdzxppnpede4sztx5nuzc9ps8az86uqphtxpkdxpqq7wjuus,input,target_blocks,False,89.8,
bc1ph663lteguw7whxhh8z7myf5aeun72n7ed5vwtfwplygyse945zzqas5rwr,input,target_blocks,False,24.5,
bc1pwqfcnp62pk25drd47hjw2ax8e033gzufd0d0s3x6v2jleg0d94csk9wnhy,input,target_blocks,False,22.7,
bc1pqy9gx34akvx8g25935an53ud8vftd72e9cx4536u0unsv2wvf50scpd6mx,input,target_blocks,False,21.4,
bc1qhvwek8vtr0ut27dsy2enqs4a20zkhz5jjfst54,input,target_blocks,False,24.0,
bc1qjhaa9pxmje5h906qung42qx5l9c0er6fgquny6,input,target_blocks,False,91.1,
bc1q0r73rpjkknpf833f28dhz754pyw7teye4cnhtw,input,target_blocks,False,25.3,
1BLLSu1k77VQMN2UnRMEVizZEHSb2JwVeU,input,target_blocks,False,23.9,
1PsikttrrPZ8MwypCHUKTjaFPErBeWq2Dp,input,target_blocks,False,23.2,
bc1qc6k9dddnral98n0tp86jz7djmxng4qfalllaw2,input,target_blocks,False,88.5,
bc1qj9qdquunz9x5npx46c6zhxeun20cgl3lyhk69w,input,target_blocks,False,22.3,
bc1qm0zty4yy448nnhzxhpm6xrr5f6fps6vxllqlvx,input,target_blocks,False,93.6,
