feature_set,model,region,n,positives,positive_rate,auc_pr,auc_roc,f1,precision,recall,brier,tp,fp,tn,fn,threshold,val_f1_for_threshold
15_features_with_memory,CatBoost,D5D6_clean__fraud_exposed,27188,5688,0.2092099455642195,0.8538614166494032,0.9015021015274916,0.8281553398058252,0.9247614917606245,0.7498241912798875,0.15985852851985471,4265,347,21153,1423,0.9507533985077975,0.30404068945979956
15_features_with_memory,XGBoost,D5D6_clean__fraud_exposed,27188,5688,0.2092099455642195,0.8478505093568466,0.8918718272658882,0.8031046480506736,0.8152508603513856,0.7913150492264416,0.151636105114102,4501,1020,20480,1187,0.9104464054107666,0.3514117408079913
15_features_with_memory,CatBoost,D5D6_clean__history_exposed,109332,135,0.0012347711557458018,0.007365516038932661,0.7977931153311429,0.028792912513842746,0.016927083333333332,0.0962962962962963,0.06135547719877874,13,755,108442,122,0.9507533985077975,0.30404068945979956
15_features_with_memory,XGBoost,D5D6_clean__history_exposed,109332,135,0.0012347711557458018,0.005077369898910724,0.7540046378970524,0.0208078335373317,0.01134089392928619,0.1259259259259259,0.055444472038864934,17,1482,107715,118,0.9104464054107666,0.3514117408079913
15_features_with_memory,LightGBM,D5D6_clean__history_exposed,109332,135,0.0012347711557458018,0.004578886676796351,0.7793478928162116,0.012326656394453005,0.007782101167315175,0.02962962962962963,0.02640645044156926,4,510,108687,131,0.947219884941718,0.3263417643425016
15_features_with_memory,CatBoost,D5D6_clean__isolated,500181,30,5.997828785979475e-05,0.00028778059649606463,0.8370389475711668,0.0,0.0,0.0,0.012462448668949227,0,362,499789,30,0.9507533985077975,0.30404068945979956
15_features_with_memory,CatBoost,D5D6_clean__isolated,500181,30,5.997828785979475e-05,0.00028778059649606463,0.8370389475711668,0.0,0.0,0.0,0.012462448668949227,0,362,499789,30,0.9507533985077975,0.30404068945979956
15_features_with_memory,XGBoost,D5D6_clean__isolated,500181,30,5.997828785979475e-05,0.00027820148866228636,0.8355893186924216,0.0,0.0,0.0,0.009424930060658717,0,779,499372,30,0.9104464054107666,0.3514117408079913
15_features_with_memory,XGBoost,D5D6_clean__isolated,500181,30,5.997828785979475e-05,0.00027820148866228636,0.8355893186924216,0.0,0.0,0.0,0.009424930060658717,0,779,499372,30,0.9104464054107666,0.3514117408079913
15_features_with_memory,LightGBM,D5D6_clean__isolated,500181,30,5.997828785979475e-05,0.00022428097017813148,0.7973504668256853,0.0,0.0,0.0,0.004219941414241193,0,358,499793,30,0.947219884941718,0.3263417643425016
15_features_with_memory,LightGBM,D5D6_clean__isolated,500181,30,5.997828785979475e-05,0.00022428097017813148,0.7973504668256853,0.0,0.0,0.0,0.004219941414241193,0,358,499793,30,0.947219884941718,0.3263417643425016
15_features_with_memory,LightGBM,D5D6_clean_without_914593_914595,636701,5853,0.009192697985396599,0.7640071699350557,0.9635336914006896,0.7542187636617994,0.7723853868194842,0.7368870664616436,0.012169123438529663,4313,1271,629577,1540,0.947219884941718,0.3263417643425016
